date,open,high,low,close,volume,adjclose,symbol
1/2/2014,555.680008,557.029999,552.020004,553.12999,58671200,74.81943,AAPL
1/3/2014,552.860023,553.699989,540.429993,540.980019,98116900,73.175958,AAPL
1/6/2014,537.450005,546.800018,533.599983,543.929993,103152700,73.574988,AAPL
1/7/2014,544.320015,545.959999,537.919975,540.040024,79302300,73.048809,AAPL
1/8/2014,538.809982,545.55999,538.68998,543.460022,64632400,73.511417,AAPL
1/9/2014,546.800018,546.859993,535.349983,536.519997,69787200,72.57267,AAPL
1/10/2014,539.829979,540.799988,531.109993,532.939995,76244000,72.088419,AAPL
1/13/2014,529.910019,542.5,529.880005,535.730019,94623200,72.465814,AAPL
1/14/2014,538.220009,546.730003,537.659996,546.390022,83140400,73.907745,AAPL
1/15/2014,553.520012,560.200005,551.659996,557.359993,97909700,75.391604,AAPL
1/16/2014,554.900017,556.850021,551.680023,554.250015,57319500,74.970931,AAPL
1/17/2014,551.480019,552.069992,539.899994,540.669998,106684900,73.134023,AAPL
1/21/2014,540.990005,550.07,540.420006,549.069977,82131700,74.27025,AAPL
1/22/2014,550.910019,557.289978,547.809975,551.509979,94996300,74.600299,AAPL
1/23/2014,549.94001,556.5,544.810013,556.179993,100809800,75.23199,AAPL
1/24/2014,554.000023,555.61998,544.749985,546.070015,107338700,73.864459,AAPL
1/27/2014,550.07,554.799988,545.750008,550.500023,138719700,74.463686,AAPL
1/28/2014,508.760002,514.999985,502.070023,506.499977,266380800,68.511996,AAPL
1/29/2014,503.950012,507.37001,498.62001,500.749992,125702500,67.734221,AAPL
1/30/2014,502.539993,506.499977,496.70002,499.779984,169625400,67.603012,AAPL
1/31/2014,495.179985,501.529984,493.549988,500.599976,116199300,67.713929,AAPL
2/3/2014,502.610008,507.730019,499.300026,501.529984,100366000,67.839727,AAPL
2/4/2014,505.849976,509.459991,502.760025,508.790016,94170300,68.821759,AAPL
2/5/2014,506.560005,515.279991,506.249985,512.589996,82086200,69.335766,AAPL
2/6/2014,510.060005,513.499977,507.81002,512.509995,64441300,69.739904,AAPL
2/7/2014,521.379997,522.929993,517.380013,519.679985,92570100,70.715562,AAPL
2/10/2014,518.659988,531.990013,518,528.989998,86389800,71.982424,AAPL
2/11/2014,530.610008,537.749985,529.500023,535.959984,70564200,72.930866,AAPL
2/12/2014,536.95002,539.560013,533.239975,535.919983,77025200,72.925423,AAPL
2/13/2014,534.659981,544.850014,534.199997,544.429977,76849500,74.083422,AAPL
2/14/2014,542.469986,545.980026,541.209984,543.990021,68231100,74.023555,AAPL
2/18/2014,546,551.190025,545.609978,545.990013,65062900,74.295704,AAPL
2/19/2014,544.749985,546.890007,534.350014,537.370003,78442000,73.122734,AAPL
2/20/2014,532.989983,537.000008,528.999985,531.149994,76464500,72.276345,AAPL
2/21/2014,532.789978,534.569992,524.599991,525.249992,69696200,71.473502,AAPL
2/24/2014,523.150024,529.920006,522.420021,527.550018,72227400,71.786478,AAPL
2/25/2014,529.38002,529.569984,521.000015,522.060013,57988000,71.039424,AAPL
2/26/2014,523.610008,525,515.599998,517.349998,69054300,70.398508,AAPL
2/27/2014,517.140007,528.780006,516.049995,527.670021,75470500,71.802807,AAPL
2/28/2014,529.079987,532.749977,522.119987,526.239975,92992200,71.608214,AAPL
3/3/2014,523.419991,530.650009,522.80999,527.76001,59695300,71.815053,AAPL
3/4/2014,530.999977,532.640015,527.769997,531.239983,64785000,72.288591,AAPL
3/5/2014,530.919975,534.750023,529.129974,532.360008,50015700,72.440998,AAPL
3/6/2014,532.789978,534.440002,528.099991,530.749985,46372200,72.221914,AAPL
3/7/2014,531.090019,531.980026,526.050011,530.440018,55182400,72.179735,AAPL
3/10/2014,528.360023,533.330017,528.339996,530.919975,44646000,72.245046,AAPL
3/11/2014,535.450012,538.740021,532.589973,536.089973,69806100,72.948554,AAPL
3/12/2014,534.510017,537.349976,532,536.609985,49831600,73.019315,AAPL
3/13/2014,537.440018,539.659988,529.159988,530.650009,64435700,72.20831,AAPL
3/14/2014,528.789993,530.890015,523.000008,524.68998,59299800,71.397298,AAPL
3/17/2014,527.699982,529.969994,525.850006,526.740013,49886200,71.676256,AAPL
3/18/2014,525.899994,531.969986,525.200005,531.399986,52411800,72.310363,AAPL
3/19/2014,532.259979,536.23999,528.999985,531.26001,56189000,72.291316,AAPL
3/20/2014,529.889992,532.669975,527.350014,528.700005,52099600,71.942963,AAPL
3/21/2014,531.929985,533.75,526.330017,532.86998,93511600,72.510393,AAPL
3/24/2014,538.420013,540.500008,535.05999,539.190018,88925200,73.370393,AAPL
3/25/2014,541.499977,545.750008,539.589973,544.98999,70573300,74.159626,AAPL
3/26/2014,546.520012,549.000015,538.860023,539.779991,74942000,73.450674,AAPL
3/27/2014,540.019997,541.499977,535.120018,537.459991,55507900,73.13498,AAPL
3/28/2014,538.319984,538.940025,534.249985,536.859978,50141000,73.053333,AAPL
3/31/2014,539.230019,540.809975,535.930023,536.739975,42167300,73.037003,AAPL
4/1/2014,537.760025,541.870026,536.769989,541.649994,50190000,73.705135,AAPL
4/2/2014,542.379997,543.479996,540.260002,542.549988,45105200,73.827602,AAPL
4/3/2014,541.390015,542.5,537.640022,538.790009,40586000,73.315962,AAPL
4/4/2014,539.810005,540.000023,530.579994,531.820023,68812800,72.36752,AAPL
4/7/2014,528.019989,530.900002,521.890022,523.469978,72462600,71.231286,AAPL
4/8/2014,525.190018,526.120026,518.699989,523.440018,60972100,71.227209,AAPL
4/9/2014,522.639999,530.490005,522.020012,530.320015,51542400,72.163406,AAPL
4/10/2014,530.680023,532.240005,523.169998,523.480019,59913000,71.232652,AAPL
4/11/2014,519.000023,522.830017,517.140007,519.610023,67929400,70.706042,AAPL
4/14/2014,521.900009,522.159988,517.210022,521.679977,51418500,70.987711,AAPL
4/15/2014,520.270012,521.639977,511.329994,517.959999,66622500,70.481514,AAPL
4/16/2014,518.049988,521.090004,514.139992,519.01001,53691400,70.624395,AAPL
4/17/2014,519.999992,527.76001,519.199974,524.940025,71083600,71.431323,AAPL
4/21/2014,525.339981,532.139977,523.959976,531.170021,45637200,72.279071,AAPL
4/22/2014,528.309982,531.830009,526.500008,531.70002,50640800,72.35119,AAPL
4/23/2014,529.060013,531.13002,524.449974,524.750008,98735000,71.405466,AAPL
4/24/2014,568.210014,570.000015,560.730003,567.770004,189977900,77.259421,AAPL
4/25/2014,564.529984,571.990021,563.959984,571.93998,97568800,77.826851,AAPL
4/28/2014,572.800026,595.749977,572.54998,594.090019,167371400,80.840922,AAPL
